"ven_lati","ven_long","ven_vlrnot"
"-3.756844","-38.559601","349.75"
"-3.756811","-38.546662","64.7"
"-3.75681","-38.547035","53.89"
"-3.756803","-38.547864","44.79"
"-3.756791","-38.5697801","54.69"
"-3.75678","-38.547773","62.97"
"-3.756774","-38.547193","290.86"
"-3.756769","-38.564428","75.69"
"-3.756768","-38.525295","232.78"
"-3.756756","-38.559495","168.37"
"-3.75671","-38.550269","449.40"
"-3.7566652","-38.5828415","66.8"
"-3.756661","-38.585555","199.26"
"-3.756657","-38.582861","73.79"
"-3.756652","-38.532603","150.01"
"-3.756631","-38.585533","766.12"
"-3.756627","-38.543844","89.79"
"-3.756593","-38.559893","53.39"
"-3.75658","-38.58954","87.69"
"-3.756577","-38.564401","22.88"
"-3.756571","-38.544444","807.74"
"-3.756565","-38.550138","59.39"
"-3.75656","-38.547732","28.88"
"-3.756559","-38.550007","695.61"
"-3.756558","-38.550011","645.67"
"-3.756558","-38.547261","52.39"
"-3.756547","-38.5579","23.89"
"-3.756546","-38.543822","278.33"
"-3.756542","-38.585434","234.09"
"-3.756534","-38.527195","54.79"
"-3.756528","-38.549987","2453.55"
"-3.756524","-38.543393","8901.90"
"-3.7565237","-38.5433931","312.09"
"-3.756522","-38.541458","786.02"
"-3.756518","-38.550081","52.24"
"-3.756508","-38.549947","37.88"
"-3.756504","-38.541475","126.34"
"-3.756485","-38.543009","130.5"
"-3.756484","-38.542799","67.2"
"-3.75648","-38.585333","173.30"
"-3.756479","-38.54377","34.68"
"-3.756478","-38.588816","112.78"
"-3.7564676","-38.5577211","55.8"
"-3.756461","-38.565841","23.89"
"-3.75646","-38.552696","1381.86"
"-3.75646","-38.546737","22.88"
"-3.75646","-38.545507","20.89"
"-3.756458","-38.568243","20.88"
"-3.756454","-38.55995","92.07"
"-3.756432","-38.543639","50.9"
"-3.7564316","-38.5436392","29.9"
"-3.756429","-38.564382","69.66"
"-3.756427","-38.543683","37.78"
"-3.756426","-38.543746","83.29"
"-3.756418","-38.561803","33.88"
"-3.756394","-38.54058","64.8"
"-3.756393","-38.561751","633.73"
"-3.756392","-38.5549553","261.96"
"-3.756383","-38.532258","98.44"
"-3.756372","-38.552796","59.49"
"-3.7563315","-38.5886691","59.79"
"-3.7563225","-38.5634851","113.5"
"-3.756317","-38.549993","23.89"
"-3.756313","-38.547736","128.38"
"-3.7563","-38.554966","978.98"
"-3.756287","-38.552338","35.88"
"-3.756277","-38.545806","28.88"
"-3.756274","-38.552345","137.56"
"-3.756271","-38.552347","551.35"
"-3.75627","-38.521003","149.77"
"-3.756262","-38.544434","43.9"
"-3.756242","-38.559028","31.89"
"-3.756239","-38.552834","125.6"
"-3.756236","-38.552788","367.25"
"-3.75623","-38.560705","302.20"
"-3.756223","-38.520657","59.19"
"-3.756204","-38.55252","953.74"
"-3.756197","-38.551746","546.95"
"-3.756197","-38.550132","59.59"
"-3.756196","-38.550132","245.85"
"-3.756195","-38.552728","44.89"
"-3.756191","-38.550133","107.30"
"-3.756183","-38.555187","107.93"
"-3.756177","-38.563607","169.78"
"-3.7561752","-38.5501701","161.4"
"-3.75617","-38.552706","111.64"
"-3.756157","-38.545431","23.89"
"-3.756155","-38.567347","72.69"
"-3.75615","-38.543769","61.39"
"-3.756138","-38.562674","36.88"
"-3.756126","-38.547323","47.9"
"-3.756118","-38.550154","57.79"
